iter	Logloss
0	0.6842770936
1	0.675645457
2	0.6673234938
3	0.658674939
4	0.6513737132
5	0.6433996148
6	0.6356616216
7	0.6289176324
8	0.6216292293
9	0.6151690383
10	0.6086373044
11	0.6023446842
12	0.5959288435
13	0.5896631484
14	0.5843116008
15	0.57894487
16	0.5722040801
17	0.5664361478
18	0.560040832
19	0.5552995562
20	0.5505529594
21	0.5451416167
22	0.5401993563
23	0.5351538888
24	0.5304496824
25	0.5258404864
26	0.5212445445
27	0.5169534524
28	0.5132187621
29	0.5092685032
30	0.5048084142
31	0.5007918254
32	0.4969565727
33	0.4931537803
34	0.4897141061
35	0.4863849598
36	0.4833420327
37	0.4797980407
38	0.4762743363
39	0.4727906139
40	0.4699636581
41	0.4667071688
42	0.4637407914
43	0.460890672
44	0.457640564
45	0.4549930453
46	0.4519642833
47	0.4489496056
48	0.44650908
49	0.4443480136
50	0.4420025399
51	0.4396055501
52	0.4370311005
53	0.4349028891
54	0.4325528081
55	0.4307505982
56	0.4285961049
57	0.4260978233
58	0.4236559858
59	0.4216290585
60	0.4198264151
61	0.4178583118
62	0.4164387274
63	0.4142761702
64	0.4125125839
65	0.4107542432
66	0.409264318
67	0.4076019361
68	0.4058006117
69	0.4043259195
70	0.4026284136
71	0.401483753
72	0.3997598173
73	0.3982409786
74	0.3965953362
75	0.3948568715
76	0.3934922977
77	0.3914964998
78	0.3900332259
79	0.3885694561
80	0.3873163123
81	0.3860330851
82	0.3849348871
83	0.3836715842
84	0.3823329247
85	0.3812724941
86	0.3802483921
87	0.3790264694
88	0.3777461129
89	0.3766511179
90	0.3755289462
91	0.374265905
92	0.3732071698
93	0.3721415346
94	0.3706377006
95	0.3695809987
96	0.3685601025
97	0.3673266844
98	0.3660267892
99	0.364607602
100	0.3636888401
101	0.3628717458
102	0.3619689958
103	0.3609248241
104	0.3599682704
105	0.3588216322
106	0.3578688217
107	0.3568462631
108	0.3555673513
109	0.3545905089
110	0.3536030708
111	0.3528023915
112	0.351548481
113	0.3505847872
114	0.3496146357
115	0.3488378393
116	0.3479523339
117	0.3470966892
118	0.345959537
119	0.3451395453
120	0.3443635602
121	0.3433795029
122	0.3425385699
123	0.3417585816
124	0.3407370728
125	0.339784176
126	0.3389614266
127	0.338166702
128	0.3373588496
129	0.3365895251
130	0.3358176402
131	0.3351521335
132	0.3342929766
133	0.3334612194
134	0.3327983309
135	0.3319247804
136	0.3312602293
137	0.3303828157
138	0.3297036846
139	0.3289345613
140	0.3280185952
141	0.3271765019
142	0.3266158384
143	0.3258120473
144	0.3254845931
145	0.3247460539
146	0.3242540466
147	0.3236635282
148	0.3231252309
149	0.3222207449
150	0.3217052258
151	0.3211265047
152	0.3204157912
153	0.3196651674
154	0.3189697618
155	0.3182532452
156	0.3177041925
157	0.3168791251
158	0.3163583958
159	0.3156504177
160	0.3151226247
161	0.3147628931
162	0.3142828089
163	0.3138461871
164	0.3131688116
165	0.312450667
166	0.3118138917
167	0.3112327351
168	0.3105965008
169	0.310044443
170	0.3095634926
171	0.308996201
172	0.3083026928
173	0.3077180588
174	0.3071025334
175	0.3065699517
176	0.3061906862
177	0.3056262512
178	0.3049320006
179	0.3043461146
180	0.3038098899
181	0.3034180195
182	0.3029780685
183	0.3026580943
184	0.3021789596
185	0.3017127211
186	0.3013563306
187	0.3009299217
188	0.3003912227
189	0.2999269909
190	0.299545289
191	0.2991323433
192	0.2986221318
193	0.2981320364
194	0.2976797208
195	0.2971946653
196	0.2967735136
197	0.296370204
198	0.2959017818
199	0.2955608217
200	0.2950733206
201	0.2945383762
202	0.294163681
203	0.2937770637
204	0.2931736341
205	0.292645005
206	0.2923477463
207	0.2919492967
208	0.2914279669
209	0.2910231245
210	0.2905586821
211	0.2900805611
212	0.2896370784
213	0.289067601
214	0.2886670052
215	0.288181561
216	0.2876956345
217	0.2873482239
218	0.2867563465
219	0.2861861986
220	0.2857645919
221	0.2854303651
222	0.285061563
223	0.2846912049
224	0.2842836942
225	0.2838568627
226	0.2836169475
227	0.2832168184
228	0.2828560355
229	0.2823402297
230	0.2819436736
231	0.2815598581
232	0.2812070097
233	0.2808890872
234	0.2804508679
235	0.2799839923
236	0.2796198249
237	0.2793334072
238	0.2790546995
239	0.2787034609
240	0.2785011969
241	0.2782782494
242	0.2778416496
243	0.2775798652
244	0.2773393681
245	0.2769832146
246	0.2765195031
247	0.276273643
248	0.2759529529
249	0.275630702
250	0.2754026439
251	0.2751900095
252	0.2748488813
253	0.2745405952
254	0.2741817676
255	0.2737167503
256	0.2733159064
257	0.2730359149
258	0.272636722
259	0.2723374514
260	0.2719881192
261	0.2716349065
262	0.2711679028
263	0.2708327251
264	0.270444153
265	0.2701367169
266	0.2698621464
267	0.2695458662
268	0.2693390443
269	0.2691146868
270	0.2688688993
271	0.2683888839
272	0.2681045374
273	0.2678105862
274	0.2674659215
275	0.2672983357
276	0.2670450148
277	0.2667464815
278	0.2664549486
279	0.2660433236
280	0.2656398286
281	0.2653383934
282	0.264933658
283	0.2645590693
284	0.2642224878
285	0.2639989368
286	0.2637853631
287	0.2634432381
288	0.26299996
289	0.2627039896
290	0.2624602003
291	0.2621727561
292	0.2617935097
293	0.2615553959
294	0.2612489288
295	0.2609630885
296	0.2606599173
297	0.2603719215
