iter	Passed	Remaining
0	335	167296
1	553	137721
2	798	132334
3	1080	134036
4	1272	125999
5	1488	122543
6	1700	119781
7	1912	117590
8	2239	122151
9	2506	122826
10	2726	121214
11	2979	121175
12	3195	119711
13	3428	119033
14	3577	115683
15	3770	114044
16	3928	111623
17	4151	111170
18	4357	110308
19	4582	109971
20	4763	108652
21	4950	107562
22	5191	107672
23	5400	107116
24	5627	106914
25	5850	106655
26	6095	106783
27	6283	105921
28	6483	105295
29	6710	105130
30	6890	104247
31	7087	103648
32	7270	102886
33	7500	102794
34	7700	102301
35	7906	101900
36	8110	101496
37	8338	101380
38	8556	101143
39	8750	100629
40	8934	100027
41	9117	99420
42	9344	99313
43	9532	98794
44	9766	98752
45	9974	98444
46	10166	97987
47	10357	97531
48	10568	97277
49	10756	96806
50	10947	96378
51	11105	95673
52	11265	95014
53	11484	94857
54	11688	94566
55	11894	94303
56	12074	93842
57	12266	93482
58	12490	93357
59	12715	93247
60	12895	92807
61	13141	92841
62	13338	92519
63	13578	92505
64	13779	92219
65	14002	92075
66	14213	91857
67	14406	91521
68	14631	91396
69	14862	91296
70	15226	92000
71	15403	91566
72	15630	91430
73	15860	91307
74	16062	91021
75	16308	90982
76	16492	90603
77	16738	90559
78	16960	90383
79	17194	90270
80	17394	89976
81	17564	89535
82	17797	89418
83	18017	89229
84	18239	89051
85	18435	88747
86	18626	88421
87	18811	88072
88	19049	87969
89	19280	87833
90	19477	87539
91	19705	87390
92	19941	87271
93	20154	87049
94	20387	86917
95	20627	86807
96	20847	86613
97	21093	86524
98	21388	86633
99	21684	86739
100	21920	86596
101	22121	86319
102	22305	85974
103	22512	85722
104	22723	85483
105	22966	85367
106	23187	85163
107	23368	84820
108	23603	84668
109	23818	84447
110	24028	84206
111	24239	83972
112	24480	83839
113	24743	83779
114	24971	83598
115	25194	83401
116	25421	83218
117	25611	82911
118	25873	82837
119	26082	82594
120	26298	82373
121	26536	82220
122	26752	81996
123	26972	81787
124	27212	81637
125	27443	81457
126	27663	81247
127	27877	81019
128	28059	80697
129	28307	80567
130	28524	80347
131	28764	80192
132	28979	79964
133	29199	79753
134	29445	79612
135	29683	79446
136	29928	79299
137	30153	79098
138	30379	78899
139	30591	78665
140	30834	78507
141	31088	78377
142	31294	78125
143	31546	77990
144	31712	77640
145	31930	77421
146	32130	77157
147	32338	76913
148	32565	76713
149	32818	76576
150	33031	76343
151	33245	76115
152	33455	75875
153	33695	75705
154	33930	75522
155	34171	75353
156	34354	75054
157	34616	74930
158	34875	74795
159	35114	74617
160	35316	74362
161	35517	74104
162	35759	73932
163	35918	73588
164	36159	73415
165	36382	73203
166	36629	73038
167	36898	72919
168	37128	72718
169	37343	72489
170	37570	72284
171	37769	72024
172	38016	71858
173	38271	71704
174	38506	71512
175	38706	71254
176	38902	70992
177	39135	70795
178	39423	70698
179	39678	70538
180	39917	70352
181	40144	70141
182	40344	69886
183	40497	69550
184	40725	69342
185	40922	69084
186	41137	68855
187	41347	68618
188	41604	68459
189	41841	68268
190	42039	68011
191	42288	67837
192	42519	67633
193	42747	67427
194	43006	67266
195	43235	67059
196	43443	66818
197	43692	66642
198	43929	66446
199	44128	66192
200	44379	66017
201	44626	65834
202	44875	65654
203	45084	65416
